,Run_Date,Master_BOL,Voyage__,Bill_Type,Carrier_Code,IMO__,Vessel_Name,Arrival_Date,US_Port_of_Unlading,Foreign_Port_of_Lading,Place_of_Receipt,Quantity,Weight__kg_,Shipper,Shipper_Address,Consignee,Consignee_Address,Commodity,Commodity_cleaned,Category,Country_Consignee,Country_Shipper,Consignee_Category,YearMonth
15477,2024-02-05,SMLU7923978A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,808 BOX",24626,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5808 CAJAS CON MANGOS FRESCOS HS CODE 080450 P.A 08.04.50.20.00 THERMOGRAPHS 7330275 - 7276372 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15478,2024-02-05,SMLU7923977A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,600 BOX",23940,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5600 CAJAS CON MANGO FRESCO HS CODE 080450 P.A 08.04.50.20.00 THERMOGRAPHS 7330665 - 7330303 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15479,2024-02-05,SMLU7923979A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,700 BOX",24420,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5700 CAJAS CON MANGOS FRESCOS HS CODE 08.04.50 PA 08.04.50.20.00 THERMOGRAPHS 6620292 - 6620286 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15480,2024-02-05,SMLU7923980A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,030 BOX",23590,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5030 CAJAS CON MANGOS FRESCOS HS CODE 08.04.50 PA 08.04.50.20.00 THERMOGRAPHS 7330667 - 7330302 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15481,2024-02-05,SMLU7927354A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,600 BOX",23870,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5600 CAJAS CON MANGOS FRESCOS HS CODE 08.04.50 PA 08.04.50.20.00 THERMOGRAPHS 7276338 - 7330660 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15482,2024-02-05,SMLU7923981A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"5,600 BOX",23710,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH MANGOES 5600 CAJAS CON MANGOS FRESCOS HS CODE 08.04.50 PA 08.04.50.20.00 THERMOGRAPHS 7330664 - 7330642 TEMPERATURA 8 C DAIKIN O STARCOOL (12%CO2+10%O2),mangoes,Fruit,USA,Colombia,USA/EU,2024-02
15483,2024-02-05,SMLU7921852A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"4,320 BOX",19370,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH BLUEBERRIES 4320 CAJAS CON ARANDANO FRESCO HS CODE 081040 P.A 08.10.40.00.00 THERMOGRAPHS 7352292 - 7356217 TEMPERATURA -0.5 C AC STARCOOL (12%CO2+8%O2),blueberries,Fruit,USA,Colombia,USA/EU,2024-02
15484,2024-02-05,SMLU7921849A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"6,240 BOX",16820,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH BLUEBERRIES 6240 CAJAS CON ARANDANOS FRESCOS HS CODE 08.10.40 P.A 08.10.40.00.00 THERMOGRAPHS 7290561 7290644 TEMPERATURA - 0.5 C COLD TREATMENT,blueberries,Fruit,USA,Colombia,USA/EU,2024-02
15485,2024-02-05,SMLU7921843A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"4,320 BOX",19025,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH BLUEBERRIES 4320 CAJAS CON ARANDANO FRESCO HS CODE 081040 P.A 08.10.40.00.00 THERMOGRAPHS 7290316 - 7290545 TEMPERATURA -0.5 C AC STARCOOL (12%CO2+8%O2),blueberries,Fruit,USA,Colombia,USA/EU,2024-02
15486,2024-02-05,SMLU7921848A,116,Regular Bill,SMLU,0.0,ARSOS,2024-02-03,"CHESTER, PENNSYLVANIA",PAITA PERU,PAITA,"6,240 BOX",16920,CAMPOSOL SA,"AV EL DERBY NRO 250 INT 401 URB EL DERBY (PISO 4 TOR 2) SANTIAGO DE SURCO, LIMA, PERU PER",CAMPOSOL FRESH USA INC,5555 ANGLERS AVE STE 10 FORT LAUDERDALE FL 33312 USA,BOXES WITH FRESH BLUEBERRIES 6240 CAJAS CON ARANDANO FRESCO HS CODE 081040 P.A 08.10.40.00.00 THERMOGRAPHS 7290569 - 7290668 TEMPERATURA -0.5 C AC STARCOOL (12%CO2+8%O2),blueberries,Fruit,USA,Colombia,USA/EU,2024-02
